,ID,Degree,betweenness_centrality,clust_coefficient,closeness_centrality,eigenvector_centrality
0,vegf signaling pathway,4640,0.0,0,0.0,-7.335073083578438e-13
15,natural killer cell mediated cytotoxicity,4640,0.0,0,0.0,8.496443986352811e-13
39,axon guidance,4640,0.0,0,0.0,-8.023884671524898e-13
32,circadian rhythm,4396,0.0,0,0.0,1.4322810728979777e-13
19,maturity onset diabetes of the young,4014,0.0,0,0.0,-5.920136988187866e-13
16,methionine metabolism,3942,0.0,0,0.0,-1.4843229410396408e-13
14,neuroactive ligand receptor interaction,3635,0.0,0,0.0,8.476674682462933e-13
18,melanogenesis,3240,0.0,0,0.0,7.156995870741214e-13
11,notch signaling pathway,2635,0.0,0,0.0,9.36154979155134e-13
1,type ii diabetes mellitus,1091,0.0,0,0.0,-5.171090449257081e-13
23,hedgehog signaling pathway,715,0.0,0,0.0,4.0354227607268146e-13
30,dorso ventral axis formation,652,0.0,0,0.0,-5.718925934012623e-13
9,prion disease,639,0.0,0,0.0,1.483554631050813e-13
26,focal adhesion,541,0.0,0,0.0,-3.725182858545518e-14
13,neurodegenerative diseases,537,0.0,0,0.0,9.47178415019033e-13
24,gnrh signaling pathway,511,0.0,0,0.0,-7.538000760115385e-13
6,renal cell carcinoma,480,0.0,0,0.0,-7.545705188222579e-13
21,long term potentiation,378,0.0,0,0.0,-8.736381723372775e-13
36,basal transcription factors,313,0.0,0,0.0,-1.1576763734969113e-12
28,epithelial cell signaling in helicobacter pylori infection,311,0.0,0,0.0,-2.573353393085254e-14
8,purine metabolism,246,0.0,0,0.0,7.813264135711031e-13
7,pyrimidine metabolism,246,0.0,0,0.0,8.963407221293675e-13
3,tight junction,187,0.0,0,0.0,4.571847856344016e-14
20,lysine degradation,127,0.0,0,0.0,6.20282936202104e-14
38,b cell receptor signaling pathway,94,0.0,0,0.0,1.1537969820222618e-12
