Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcriptional misregulation in cancer	43/186	4.3098297750562683E-38	6.507842960334965E-36	0	0	21.930852729360193	1886.872125870191	CEBPA;CEBPB;SPI1;KMT2A;SIX1;FOXO1;RELA;HOXA10;LYL1;HOXA9;RXRA;MYC;SMAD1;MEF2C;BCL11B;ZBTB16;HMGA2;PAX3;MITF;ETV1;PAX5;ETV4;RUNX2;NFKB1;PBX1;ETV5;RUNX1;MEIS1;MYCN;MAF;NR4A3;ZEB1;BCL6;PAX8;SP1;PAX7;WT1;TLX1;REL;RARA;PPARG;TCF3;TP53
Pathways in cancer	46/530	1.7537913466094023E-21	1.2945373679656255E-19	0	0	6.8878060190238575	329.1855175483118	CEBPA;SPI1;EPAS1;LEF1;GLI1;HIF1A;ETS1;GLI3;RELA;FOXO1;GLI2;RXRA;MECOM;MYC;STAT4;E2F1;STAT6;HES5;NKX3-1;STAT5A;NCOA1;STAT5B;TCF7L2;JUN;SMAD4;TCF7L1;SMAD3;STAT1;NCOA3;STAT2;ZBTB16;STAT3;MITF;FOS;ESR1;ESR2;NFKB1;RUNX1;NFKB2;AR;PAX8;SP1;RARA;PPARG;TP53;NFE2L2
Th17 cell differentiation	24/107	2.57192854562707E-21	1.2945373679656255E-19	0	0	19.75332689643592	936.4979377705034	STAT5A;STAT5B;SMAD4;JUN;SMAD3;STAT1;STAT3;NFATC3;NFATC2;RORA;NFATC1;AHR;GATA3;FOS;FOXP3;HIF1A;NFKB1;RELA;RUNX1;RXRA;IRF4;TBX21;RARA;STAT6
Hepatitis B	27/163	3.662330435884089E-20	1.3825297395462436E-18	0	0	13.66847038111019	611.7132858997055	ATF2;RELA;MYC;CREB3L2;E2F1;STAT4;STAT6;STAT5A;STAT5B;EGR2;SMAD4;JUN;SMAD3;STAT1;STAT2;STAT3;NFATC3;NFATC2;NFATC1;FOS;NFKB1;CREB3;CREB1;IRF3;IRF7;TP53;ATF4
Human T-cell leukemia virus 1 infection	29/219	8.50714082783697E-19	2.5691565300067647E-17	0	0	10.553770063456513	439.1234901543476	ATF2;SPI1;SRF;ETS1;RELA;MYC;CREB3L2;E2F1;MSX1;STAT5A;STAT5B;EGR1;EGR2;JUN;SMAD4;SMAD3;MSX2;NFYB;NFATC3;NFATC2;NFATC1;FOS;NFKB1;NFKB2;CREB3;CREB1;TCF3;TP53;ATF4
Maturity onset diabetes of the young	13/26	2.098119376059291E-17	5.280267096415883E-16	0	0	66.02684563758389	2535.622691866724	ONECUT1;PDX1;PAX6;HNF1B;HNF1A;MAFA;NEUROD1;NR5A2;HNF4A;NKX6-1;NKX2-2;NEUROG3;FOXA2
Signaling pathways regulating pluripotency of stem cells	23/139	2.4600654663431516E-17	5.306712648825942E-16	0	0	13.475185584291188	515.3417448315101	SMAD1;SMAD4;ZFHX3;SMAD3;SETDB1;DLX5;PCGF2;ESRRB;ONECUT1;STAT3;PAX6;HNF1A;KLF4;SMAD5;POU5F1;TBX3;SOX2;MEIS1;ZIC3;MYC;NANOG;HOXB1;TCF3
Th1 and Th2 cell differentiation	17/92	5.782149419181912E-14	1.0913807028705859E-12	0	0	15.121904761904762	460.9370669855655	STAT5A;STAT5B;JUN;STAT1;NFATC3;NFATC2;NFATC1;FOS;GATA3;RBPJ;RUNX3;RELA;NFKB1;MAF;TBX21;STAT4;STAT6
Parathyroid hormone synthesis, secretion and action	17/106	6.583845110001445E-13	1.1046229017891313E-11	0	0	12.734082397003744	357.1781150618939	MEF2A;ATF2;EGR1;MEF2C;JUND;GATA3;FOS;RUNX2;NR4A2;CREB3;MAFB;CREB1;RXRA;SP1;CREB3L2;MEF2D;ATF4
Inflammatory bowel disease (IBD)	14/65	1.0793204905848002E-12	1.6297739407830484E-11	0	0	18.150920974450386	500.14299064963234	JUN;SMAD3;STAT1;STAT3;RORA;NFATC1;GATA3;FOXP3;RELA;NFKB1;MAF;TBX21;STAT4;STAT6
