Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcriptional misregulation in cancer	42/186	7.97E-36	1.22E-33	0	0	19.98581871	1615.197582	CEBPA;CEBPB;SPI1;KMT2A;SIX1;FOXO1;RELA;HOXA10;LYL1;HOXA9;RXRA;MYC;SMAD1;MEF2C;BCL11B;ZBTB16;HMGA2;PAX3;MITF;ETV1;PAX5;ETV4;RUNX2;NFKB1;PBX1;ETV5;RUNX1;MEIS1;MYCN;MAF;NR4A3;ZEB1;BCL6;PAX8;SP1;WT1;FEV;REL;RARA;PPARG;TCF3;TP53
Pathways in cancer	48/530	3.14E-22	2.20E-20	0	0	6.849953152	339.1578849	CEBPA;SPI1;EPAS1;TCF7;LEF1;GLI1;HIF1A;ETS1;GLI3;RELA;FOXO1;GLI2;RXRA;MECOM;MYC;STAT4;E2F1;STAT6;HES1;HES5;NKX3-1;STAT5A;NCOA1;STAT5B;TCF7L2;JUN;SMAD4;TCF7L1;SMAD3;STAT1;NCOA3;STAT2;ZBTB16;STAT3;MITF;FOS;ESR1;NFKB1;ESR2;RUNX1;NFKB2;AR;PAX8;SP1;RARA;PPARG;TP53;NFE2L2
Th17 cell differentiation	25/107	4.31E-22	2.20E-20	0	0	19.7777015	972.9984352	RORC;RORA;AHR;GATA3;HIF1A;RELA;RXRA;TBX21;STAT6;STAT5A;STAT5B;SMAD4;JUN;SMAD3;STAT1;STAT3;NFATC3;NFATC2;NFATC1;FOS;FOXP3;NFKB1;RUNX1;IRF4;RARA
Maturity onset diabetes of the young	15/26	7.60E-21	2.91E-19	0	0	85.93531469	3981.099048	ONECUT1;PDX1;PAX4;PAX6;HNF1B;HNF1A;MAFA;NEUROD1;NR5A2;HNF4A;HES1;NKX6-1;NKX2-2;NEUROG3;FOXA2
Hepatitis B	26/163	1.74E-18	5.32E-17	0	0	12.31748187	503.7160476	ATF2;RELA;MYC;E2F1;STAT4;STAT6;STAT5A;STAT5B;EGR2;SMAD4;JUN;SMAD3;STAT1;STAT2;STAT3;NFATC3;NFATC2;NFATC1;FOS;NFKB1;CREB3;CREB1;IRF3;IRF7;TP53;ATF4
Human T-cell leukemia virus 1 infection	28/219	3.34E-17	8.52E-16	0	0	9.551839465	362.3796678	ATF2;SPI1;SRF;ETS1;RELA;MYC;E2F1;MSX1;STAT5A;STAT5B;EGR1;EGR2;JUN;SMAD4;SMAD3;MSX2;NFATC3;NFATC2;NFATC1;FOS;NFKB1;NFKB2;FOSL1;CREB3;CREB1;TCF3;TP53;ATF4
Signaling pathways regulating pluripotency of stem cells	22/139	9.41E-16	2.06E-14	0	0	12.05638223	417.1470634	SMAD1;SMAD4;ZFHX3;SMAD3;SETDB1;DLX5;PCGF2;ESRRB;ONECUT1;STAT3;PAX6;HNF1A;KLF4;SMAD5;POU5F1;SOX2;MEIS1;ZIC3;MYC;NANOG;HOXB1;TCF3
Inflammatory bowel disease (IBD)	15/65	1.15E-13	2.20E-12	0	0	18.86826923	562.1889227	JUN;SMAD3;STAT1;STAT3;RORC;RORA;NFATC1;GATA3;FOXP3;RELA;NFKB1;MAF;TBX21;STAT4;STAT6
Th1 and Th2 cell differentiation	17/92	1.31E-13	2.23E-12	0	0	14.32972043	425.0742117	STAT5A;STAT5B;JUN;STAT1;NFATC3;NFATC2;NFATC1;FOS;GATA3;RBPJ;RUNX3;RELA;NFKB1;MAF;TBX21;STAT4;STAT6
Acute myeloid leukemia	15/66	1.46E-13	2.24E-12	0	0	18.49736048	546.640777	STAT5A;CEBPA;STAT5B;TCF7L2;TCF7L1;SPI1;ZBTB16;LEF1;TCF7;STAT3;RELA;NFKB1;RUNX1;MYC;RARA
Osteoclast differentiation	19/127	2.56E-13	3.56E-12	0	0	11.17529461	324.0087261	JUN;SPI1;JUND;STAT1;STAT2;NFATC2;MITF;NFATC1;FOS;NFKB1;RELA;NFKB2;FOSL2;FOSL1;CREB1;FOSB;PPARG;JUNB;IRF9
"Parathyroid hormone synthesis, secretion and action"	17/106	1.48E-12	1.88E-11	0	0	12.06698079	328.7297258	MEF2A;ATF2;EGR1;MEF2C;JUND;VDR;GATA3;FOS;RUNX2;NR4A2;CREB3;MAFB;CREB1;RXRA;SP1;MEF2D;ATF4
Prostate cancer	16/97	4.34E-12	5.10E-11	0	0	12.4438093	325.5780329	TCF7L2;TCF7L1;TCF7;LEF1;FOXO1;NFKB1;ETV5;RELA;AR;CREB3;CREB1;ZEB1;E2F1;TP53;ATF4;NKX3-1
Breast cancer	18/147	3.52E-11	3.85E-10	0	0	8.825468503	212.4225648	NCOA1;TCF7L2;JUN;TCF7L1;NCOA3;TCF7;LEF1;FOS;ESR1;ESR2;NFKB2;SP1;MYC;E2F1;PGR;HES1;TP53;HES5
Viral carcinogenesis	20/201	1.29E-10	1.31E-09	0	0	7.015674771	159.7616788	STAT5A;ATF2;STAT5B;EGR2;JUN;GTF2B;SRF;STAT3;RBPJ;RELA;NFKB1;NFKB2;CREB3;CREB1;IRF3;REL;IRF7;TP53;IRF9;ATF4
Kaposi sarcoma-associated herpesvirus infection	18/186	1.73E-09	1.66E-08	0	0	6.763176144	136.4410158	JUN;STAT1;STAT2;STAT3;NFATC3;NFATC2;NFATC1;FOS;HIF1A;NFKB1;RELA;CREB1;IRF3;MYC;IRF7;E2F1;TP53;IRF9
Thyroid cancer	Sep-37	6.22E-09	5.60E-08	0	0	19.85680593	375.2007214	TCF7L2;TCF7L1;RXRA;PAX8;MYC;TCF7;LEF1;PPARG;TP53
Prolactin signaling pathway	Nov-70	1.73E-08	1.47E-07	0	0	11.57230208	206.8321519	STAT5A;STAT5B;STAT1;IRF1;STAT3;FOS;FOXO3;ESR1;RELA;NFKB1;ESR2
Circadian rhythm	31-Aug	2.67E-08	2.15E-07	0	0	21.42565081	373.6711361	CREB1;BHLHE40;BHLHE41;RORC;RORA;CLOCK;NPAS2;ARNTL
Chronic myeloid leukemia	Nov-76	4.19E-08	3.21E-07	0	0	10.50087634	178.3775894	STAT5A;STAT5B;SMAD4;SMAD3;MECOM;MYC;E2F1;TP53;RELA;NFKB1;RUNX1
Estrogen signaling pathway	14/137	5.73E-08	4.18E-07	0	0	7.109275566	118.5419307	NCOA1;ATF2;NCOA2;JUN;NCOA3;FOS;ESR1;ESR2;CREB3;CREB1;SP1;RARA;PGR;ATF4
Cellular senescence	15/160	6.13E-08	4.26E-07	0	0	6.474801061	107.5321685	SMAD3;NFATC3;NFATC2;GATA4;NFATC1;FOXO3;FOXM1;ETS1;FOXO1;NFKB1;RELA;MYC;E2F1;MYBL2;TP53
AGE-RAGE signaling pathway in diabetic complications	12/100	8.66E-08	5.76E-07	0	0	8.478354978	137.8779392	STAT5A;STAT5B;EGR1;SMAD4;JUN;SMAD3;STAT1;STAT3;NFATC1;FOXO1;NFKB1;RELA
Mitophagy	Oct-65	9.61E-08	6.12E-07	0	0	11.25207915	181.814435	JUN;SP1;TFEB;E2F1;MITF;FOXO3;TP53;HIF1A;RELA;ATF4
C-type lectin receptor signaling pathway	12/104	1.34E-07	8.22E-07	0	0	8.108074534	128.2905955	EGR2;JUN;STAT1;IRF1;STAT2;NFATC3;NFATC2;NFATC1;NFKB1;IRF9;RELA;NFKB2
Epstein-Barr virus infection	16/201	2.17E-07	1.28E-06	0	0	5.419449031	83.14843231	JUN;STAT1;STAT2;STAT3;RBPJ;RUNX3;RELA;NFKB1;NFKB2;IRF3;MYC;IRF7;E2F1;HES1;TP53;IRF9
Cushing syndrome	14/155	2.69E-07	1.47E-06	0	0	6.195998459	93.73189591	ATF2;TCF7L2;TCF7L1;KMT2A;TCF7;LEF1;AHR;PBX1;NR5A1;CREB3;CREB1;SP1;E2F1;ATF4
Hepatitis C	14/155	2.69E-07	1.47E-06	0	0	6.195998459	93.73189591	STAT1;STAT2;STAT3;NR1H3;NFKB1;RELA;RXRA;IRF3;MYC;IRF7;E2F1;PPARA;TP53;IRF9
Measles	13/138	4.44E-07	2.34E-06	0	0	6.474496815	94.70572392	STAT5A;STAT5B;JUN;STAT1;STAT2;STAT3;FOS;NFKB1;RELA;IRF3;IRF7;TP53;IRF9
cGMP-PKG signaling pathway	14/166	6.23E-07	3.18E-06	0	0	5.744366908	82.07530648	MEF2A;ATF2;BORCS8-MEF2B;MEF2C;MEF2B;SRF;NFATC3;NFATC2;GATA4;NFATC1;CREB3;CREB1;MEF2D;ATF4
Longevity regulating pathway	11/102	8.94E-07	4.41E-06	0	0	7.490680206	104.3230145	ATF2;CREB3;CREB1;PPARG;FOXO3;TP53;FOXO1;NFKB1;RELA;ATF4;FOXA2
Cocaine addiction	Aug-49	1.18E-06	5.64E-06	0	0	12.00825751	163.9162441	ATF2;CREB3;JUN;CREB1;FOSB;RELA;NFKB1;ATF4
Colorectal cancer	Oct-86	1.40E-06	6.51E-06	0	0	8.134235431	109.6236855	TCF7L2;JUN;TCF7L1;SMAD4;SMAD3;MYC;LEF1;TCF7;FOS;TP53
Insulin resistance	11/108	1.59E-06	7.14E-06	0	0	7.025185959	93.80871002	MLXIP;MLXIPL;SREBF1;CREB3;CREB1;STAT3;NR1H3;PPARA;FOXO1;NFKB1;RELA
TNF signaling pathway	11/110	1.91E-06	8.33E-06	0	0	6.882559775	90.64644758	ATF2;CREB3;JUN;CEBPB;CREB1;IRF1;FOS;JUNB;NFKB1;RELA;ATF4
Wnt signaling pathway	13/158	2.08E-06	8.83E-06	0	0	5.575752251	72.95586451	TCF7L2;SMAD4;JUN;TCF7L1;SMAD3;TCF7;LEF1;NFATC3;NFATC2;NFATC1;FOSL1;MYC;TP53
Human papillomavirus infection	19/330	2.36E-06	9.75E-06	0	0	3.840543701	49.76433638	HES6;TCF7L2;TCF7L1;STAT1;STAT2;TCF7;RBPJ;RELA;FOXO1;NFKB1;CREB3;CREB1;IRF3;IRF1;E2F1;HES1;TP53;IRF9;HES5
Thyroid hormone signaling pathway	11/116	3.22E-06	1.30E-05	0	0	6.487281495	82.0357234	NCOA1;NCOA2;RXRA;STAT1;MYC;NCOA3;GATA4;TP53;HIF1A;ESR1;FOXO1
Human cytomegalovirus infection	15/225	4.79E-06	1.88E-05	0	0	4.455815018	54.5771762	ATF2;STAT3;NFATC3;NFATC2;NFATC1;RELA;NFKB1;CREB3;CREB1;IRF3;SP1;MYC;E2F1;TP53;ATF4
