Column1,ID,Degree,betweenness_centrality,clust_coefficient,closeness_centrality,eigenvector_centrality
65,STAT3,40,0.13781554,0.075641026,0.353404453,0.366485503
213,MYC,41,0.169411867,0.035365854,0.353760708,0.303674676
30,TP53,39,0.146407871,0.025641026,0.348145458,0.260577147
206,NANOG,25,0.066742667,0.096666667,0.328279347,0.240092313
133,POU5F1,21,0.047753251,0.157142857,0.315869147,0.218315088
317,FOXO3,16,0.040374857,0.125,0.328586725,0.173948202
84,SOX2,16,0.011615281,0.2,0.297651079,0.173898883
91,SNAI1,18,0.069823653,0.078431373,0.326751045,0.165160471
244,KLF5,12,0.017177313,0.212121212,0.307564086,0.154141463
321,FOXM1,15,0.045555903,0.104761905,0.315301547,0.153938826
413,AR,21,0.052755056,0.057142857,0.310833146,0.150337025
365,DNMT1,8,0.00471293,0.321428571,0.299428858,0.143744467
253,JUN,19,0.031508512,0.046783626,0.300197281,0.139390294
338,FOS,17,0.037752866,0.044117647,0.302005699,0.127167435
27,TWIST1,12,0.023682378,0.136363636,0.294899682,0.121384971
318,FOXO1,15,0.039607179,0.066666667,0.312215856,0.113026438
315,FOXP3,18,0.040156852,0.039215686,0.302005699,0.105858703
130,PPARG,17,0.037825553,0.088235294,0.295147706,0.104015404
106,SALL4,4,0.000170619,0.833333333,0.287884021,0.102090489
212,MYCN,11,0.024162139,0.054545455,0.29268609,0.095127195
245,KLF4,15,0.055090028,0.028571429,0.299173591,0.093943995
262,IRF4,12,0.015612208,0.121212121,0.293911744,0.093436091
129,PRDM1,8,0.016758936,0.214285714,0.290025307,0.091553406
387,CEBPB,8,0.009043545,0.321428571,0.28415435,0.086587708
14,ZEB1,7,0.014881987,0.19047619,0.280744498,0.085487445
197,NFATC2,6,0.007112747,0.133333333,0.283694925,0.085131208
237,LIN28A,4,0.0002654,0.666666667,0.273736835,0.084669058
79,SP1,7,0.004766098,0.142857143,0.28415435,0.084416918
394,BCL6,10,0.020570707,0.088888889,0.285541596,0.082597003
67,STAT1,9,0.012006169,0.166666667,0.282552836,0.081613279
